Title,Company,Location,Salary,Job Type,Description,Date Posted
inside sales representative,smith stockley ltd,"St. John's, NL",40.0,"Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Estimate or quote prices, credit or contract terms,…   ",4
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",N/A,Full-time,The successful candidate is an individual who is an experienced business professional with extensive experience in non-for-profit accounting and administration.  ,30
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",N/A,Full-time,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Position Type: 1 full-time position.   ",4
Painter - Flood/Fire Restoration,On Side Restoration,"St. John's, NL",20.0,"Full-time
+1","Valid driver’s licence and a clean criminal record (we do check). We also love that we’re able to provide an employee assistance program, *excellent health plan…",4
barista,Mamattuk,"Happy Valley-Goose Bay, NL",16.5,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ",15
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",23.5,"Full-time
+1",Hire and train or arrange for training of cleaning staff. Recommend or arrange for additional maintenance services. Experience: 1 year to less than 2 years.  ,1
Accounting Clerk II,NL Health Services,"St. John's, NL",26.0,Full-time,Completion of a recognized/approved two-year Business Administration program* with a specialization in Accounting supplemented by one year of accounting…  ,6
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",N/A,Full-time,Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,30
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,N/A,Part-time,"Reserve Force members usually serve part time at an Air Force wing in their community, and may serve while going to school or working at a civilian job.",4
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,L’un des objectifs du cours est de veiller à ce que toutes les recrues répondent à la norme d’aptitude physique des Forces armées canadiennes (FAC); l…,4
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…",4
Electronics Service Technician,BABB Security Systems,"St. John's, NL",N/A,,"Must possess a valid driver’s licence (driver’s abstract to be provided upon request). We are searching for a technician who can service, install, program,…  ",30
inside sales representative,smith stockley ltd,"St. John's, NL",40.0,"Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Estimate or quote prices, credit or contract terms,…   ",4
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",N/A,Full-time,The successful candidate is an individual who is an experienced business professional with extensive experience in non-for-profit accounting and administration.  ,30
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",N/A,Full-time,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Position Type: 1 full-time position.   ",4
barista,Mamattuk,"Happy Valley-Goose Bay, NL",16.5,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ",15
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",23.5,"Full-time
+1",Hire and train or arrange for training of cleaning staff. Recommend or arrange for additional maintenance services. Experience: 1 year to less than 2 years.  ,1
Accounting Clerk II,NL Health Services,"St. John's, NL",26.0,Full-time,Completion of a recognized/approved two-year Business Administration program* with a specialization in Accounting supplemented by one year of accounting…  ,6
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",N/A,Full-time,Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,30
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…",4
Aerospace Control Operator,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",4
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,L’un des objectifs du cours est de veiller à ce que toutes les recrues répondent à la norme d’aptitude physique des Forces armées canadiennes (FAC); l…,4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
House Cleaner - St John's,Maid Home Cleaning Services,"St. John's, NL",20.0,"Casual
+1",Love of cleaning and making customers’ homes beautiful. Own vehicle or reliable mode of transportation. You will be responsible for cleaning homes in your area.  ,4
Electronics Service Technician,BABB Security Systems,"St. John's, NL",N/A,,"Must possess a valid driver’s licence (driver’s abstract to be provided upon request). We are searching for a technician who can service, install, program,…  ",30
inside sales representative,smith stockley ltd,"St. John's, NL",40.0,"Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Estimate or quote prices, credit or contract terms,…   ",4
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",N/A,Full-time,The successful candidate is an individual who is an experienced business professional with extensive experience in non-for-profit accounting and administration.  ,30
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",N/A,Full-time,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Position Type: 1 full-time position.   ",4
barista,Mamattuk,"Happy Valley-Goose Bay, NL",16.5,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ",15
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",23.5,"Full-time
+1",Hire and train or arrange for training of cleaning staff. Recommend or arrange for additional maintenance services. Experience: 1 year to less than 2 years.  ,1
Accounting Clerk II,NL Health Services,"St. John's, NL",26.0,Full-time,Completion of a recognized/approved two-year Business Administration program* with a specialization in Accounting supplemented by one year of accounting…  ,6
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",N/A,Full-time,Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,30
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,N/A,Part-time,"Reserve Force members usually serve part time at an Air Force wing in their community, and may serve while going to school or working at a civilian job.",4
